 Disease,Disease Details,Filter m/f,Country,Year2000,LEYear2000,GDPYear2000,Year2001,LEYear2001,GDPYear2001,GDPYear2002,Year2002,LEYear2002,GDPYear2003,Year2003,LEYear2003,GDPYear2004,Year2004,LEYear2004,GDPYear2005,Year2005,LEYear2005,GDPYear2006,Year2006,LEYear2006,GDPYear2007,Year2007,LEYear2007,GDPYear2008,Year2008,LEYear2008,GDPYear2009,Year2009,LEYear2009,GDPYear2010,Year2010,LEYear2010,GDPYear2011,Year2011,LEYear2011,GDPYear2012,Year2012,LEYear2012,GDPYear2013,Year2013,LEYear2013,GDPYear2014,Year2014,LEYear2014,GDPYear2015,Year2015,LEYear2015,GDPYear2016,Year2016,LEYear2016
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Australia,134,79.7,539799.4,120,80,568862.9,599770.3,111,80.3,636095.4,110,80.6,675258.7,107,80.9,719165.7,,81.1,774486.9,101,81.4,826249.3,87,81.5,851398.1,67,81.6,900317.6,79,81.8,938600.8,71,82,987220.2,91,82.1,991827.9,75,82.2,1098874.1,62,82.4,1108212.4,56,82.5,1131510.1,,,1184472,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Austria,50,78.7,234747.6,50,78.8,239060.6,251504.1,51,78.7,259781.7,49,79.3,274981.9,54,79.4,286878.4,71,80,309706.2,43,80.3,324775.6,62,80.5,341669.2,46,80.4,339610,39,80.7,350482.9,44,81.1,371229.2,42,81,389747.1,38,81.2,404650.5,51,81.6,415257.1,42,81.3,426645.4,,,438191.7,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Belgium,54,78.1,286696.1,70,78.2,298566.7,314971.9,59,78.2,322227.1,55,79,336193.9,69,79.1,349277,59,79.5,373467.6,49,79.9,391644.1,49,79.8,408408.9,53,80.1,410781.5,43,80.3,437233.6,58,80.7,455705,44,80.5,471332.6,39,80.7,485918.5,53,81.4,502107.2,35,81.1,514198.4,,,527027.6,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Canada,511,79.2,898024.6,435,79.4,934754.4,967558.8,405,79.6,1019620.7,440,79.8,1079987.1,420,80,1167581.3,468,80.3,1238000.9,428,80.4,1297164.6,422,80.6,1339060.6,407,80.8,1304488.4,355,81.1,1361136.5,336,81.3,1427466.2,303,81.5,1464565.1,276,81.7,1550270.4,,,1602420.4,,,1584685.9,,,1630347.2,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Chile,458,76.8,146960.7,552,77.2,155221.8,161844.4,440,77.2,171298.8,423,77.2,188358.1,399,77.6,206427.4,390,78,254577.4,422,77.5,277257.6,387,78.1,273618.8,380,78.2,273085.4,435,78,310516.8,435,78.7,348602.3,472,78.7,371592.6,456,79.5,392442.7,523,79.7,403051.8,506,79.1,415861.4,,79.2,425638.7,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Czech Republic,1,75.3,165438.5,3,75.4,179364.9,184989.3,,75.3,197368.2,,75.8,211909.5,,76.1,223723.5,5,76.7,243192.3,1,77,268368.9,4,77.3,288526.9,6,77.4,287910.1,8,77.7,289714.5,5,78,302260.2,8,78.2,305309.4,7,78.3,320535.1,7,78.9,340575.3,17,78.7,355857.7,10,,369881.8,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Denmark,29,77,152926.9,34,77.1,158176.4,164720.4,36,77.4,165945.7,43,77.8,177981.5,40,78.3,185074.4,39,78.4,202903.3,27,78.4,212740.5,33,78.8,226767.5,22,79,223027.8,30,79.3,239009.5,29,79.9,247352.3,18,80.1,250524.6,26,80.4,262368.1,29,80.8,269789.6,16,80.8,278381.5,,,286287.5,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Estonia,3,70.9,13151.2,3,71.4,14334.3,15987.5,3,71.8,17907,7,72.4,19661.1,21,72.9,22375.7,33,73.1,25951.8,49,73.2,29435.5,42,74.2,30303.9,42,75.2,27388.7,52,75.9,28791.1,42,76.4,32579.4,60,76.5,34419.8,54,77.3,36158.6,52,77.2,37521.4,47,77.7,38076.8,,,39165.9,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Finland,10,78.2,138372,3,78.3,144404.8,148566.4,7,78.5,151089.7,8,79,162806,8,79.1,167840.5,9,79.5,181069,9,79.6,199323.1,11,79.9,212373.3,7,80.1,202176.2,3,80.2,208164.1,7,80.6,219213.9,5,80.7,219916.5,7,81.1,224594.3,4,81.3,226716.9,3,81.6,231648.5,,,236844,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,France,1012,79.3,1595459.9,1016,79.4,1698365,1770065.4,998,79.3,1758832.6,950,80.3,1829067.8,928,80.4,1933507,827,81,2070453.4,809,81.2,2186192.7,728,81.4,2263191.8,646,81.5,2249679.8,511,81.8,2342745,458,82.3,2447562.9,386,82.1,2471783.2,412,82.3,2606140.9,449,82.8,2658465.9,,82.4,2726977.7,,,2796494.3,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Germany,580,78.5,2242492.4,543,78.5,2350369.3,2419132.8,518,78.6,2475052.5,507,79.2,2594276.8,507,79.4,2636421,491,79.8,2822338.6,504,80.1,2997500.1,461,80.2,3122546.2,443,80.3,3036962.8,431,80.5,3210823,455,80.5,3427141.3,463,80.6,3503682.5,410,80.6,3647778,401,81.2,3810887.4,388,80.7,3920864.4,,,4047983.2,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Greece,29,79.1,210755.2,17,79.2,228231.4,246559.4,29,79.3,260839,20,79.4,278865.8,16,79.7,281028.3,28,79.9,314476.2,22,79.7,323504.1,19,80.3,341818,14,80.4,337613.7,17,80.7,313653.3,18,80.8,290296.7,18,80.7,279267.2,40,81.4,286168.7,44,81.5,287892.5,44,81.1,285216.2,,,288924.8,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Hungary,15,72.5,120933.2,9,72.5,134788.3,147463.9,8,72.6,156173.6,8,73,163724.8,12,73,171624.6,6,73.5,183601.4,5,73.6,190395,9,74.2,206647,4,74.4,206199.7,9,74.7,214666.2,10,75,226649.2,12,75.2,228146,8,75.7,241058.5,7,75.9,251538.8,15,75.7,260212.3,7,,270849.1,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Iceland,1,80.8,8295,2,80.6,9010.1,9255.8,,81,9352.4,,81.1,10308.7,1,81.6,10968.6,,81.2,11763.3,3,81.5,12688,,81.7,13546.4,,81.8,13078.8,1,82,12216.2,,82.4,12590.2,1,83,12984.8,,82.1,13802.4,1,82.9,14500.1,1,82.5,15776.7,,,16910.6,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Ireland,0,77.2,114746,0,77.7,126101.2,138442.9,0,78.2,144816.9,0,78.6,157505.6,0,79,168246.1,0,79.3,189091.2,0,79.7,205707.9,15,80.2,198727.1,14,80.3,188522.9,16,80.8,197096.6,14,80.8,208138.9,14,80.9,213532.4,12,81.1,222143.8,10,81.4,236705,,81.5,317904,,,334143.8,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Israel,23,79.3,156779.7,27,79.5,160502.5,165470.5,24,79.7,159050.9,26,80.2,171674.7,20,80.2,172004.2,26,80.6,181063.9,22,80.6,197434,38,81,200340.5,25,81.5,205699.2,31,81.7,219987.4,22,81.7,237080.1,31,81.8,251163.3,33,82.1,275838.8,33,82.2,286968.8,27,82.1,306256.6,,,320876.2,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Italy,975,80.2,1537801.2,958,80.3,1595088.6,1634258.9,934,80.1,1666642.2,1268,80.9,1699880.4,,80.9,1742085.7,,81.4,1880991.3,964,81.5,1985918,1022,81.6,2082637.9,937,81.7,2041702.1,899,82.1,2079200,852,82.3,2158285.2,831,82.3,2157547.3,881,82.8,2176320.7,,83.2,2206285.4,,82.6,2262528.2,,,2301456.2,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Japan,50,81.5,3398784.5,37,81.8,3493662.3,3588864.9,54,81.9,3686953.4,61,82.1,3881735.5,49,82,4045734.4,69,82.4,4226545.1,60,82.6,4419763.6,65,82.7,4456434.4,54,83,4238262.3,61,82.9,4481979.3,61,82.7,4573186.8,53,83.2,4746699.4,50,83.4,4967051.6,45,83.7,5013008.2,45,83.9,5172861.8,,,5286676.6,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Korea,28,76.5,850051.6,38,76.8,908767.5,989824.4,64,77.3,1023674.5,62,77.8,1103360.3,72,78.2,1165894.1,69,78.8,1251054.3,77,79.2,1354518.1,105,79.6,1405710.9,99,80,1396413.6,98,80.2,1505298.9,122,80.6,1559446.8,124,80.9,1611272.9,124,81.4,1644777.3,119,81.8,1706688.7,,82.1,1749804,,,1822162,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Latvia,3,,18971.5,7,70.1,21165.1,23263.6,5,70.5,25226.8,11,70.8,27662.1,16,70.6,31001.9,26,70.6,34964.9,29,70.8,39874.4,42,72,42310.1,60,72.6,36171,67,73,36901.6,58,73.7,40727.3,73,73.9,43234.9,88,74.1,45639.6,110,74.3,47624.5,102,74.6,49239.1,,,50511,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Luxembourg,2,77.9,24130.1,1,78.1,24735.6,26222.4,4,77.8,27113.9,3,79.2,29362.5,3,79.5,31733.1,1,79.4,36863.9,5,79.5,40294.8,4,80.6,42363,4,80.7,40998.6,1,80.7,43486,1,81.1,47690.5,3,81.5,48646.4,8,81.9,51998,5,82.3,56650.9,3,82.4,59356.2,,,63187.3,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Mexico,4218,73.5,1006364.7,4316,73.6,1028960.9,1067155.6,4462,73.8,1131831.9,4603,73.9,1211914.1,4719,74,1322405.6,4649,74.1,1464036.7,4944,74.2,1551468.9,5064,74.1,1640914.6,5165,74,1624853.8,5080,74.1,1730209.2,4821,74.2,1893302.8,4984,74.4,1984966.4,4892,74.6,2039349,4890,74.8,2151633.5,4763,75,2165289.7,,75,2262925.8,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Netherlands,132,78.3,502811.1,128,78.4,528116,548919.2,89,78.7,546816,87,79.2,577038.7,85,79.5,608165.5,80,79.9,663991,48,80.3,711982.1,66,80.5,753930,53,80.8,728830.2,70,81,740806.1,50,81.3,768994,54,81.2,782578.5,44,81.4,817809.8,34,81.8,826588.1,38,81.6,839321.6,33,,870843.8,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,New Zealand,22,78.7,82977.8,13,79,87342.7,92026.9,11,79.3,96505.9,10,79.6,102540.3,15,79.8,106147.2,13,80.1,116197.4,17,80.3,124125.3,11,80.5,127199.9,6,80.7,132087.5,9,80.8,136021.4,16,81,143508.2,8,81.2,145405.7,11,81.4,160669,,81.5,167682.2,,81.7,174401.8,,,182969.5,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Norway,15,78.9,165842.3,11,79,170951.9,172267.6,12,79.6,175887.5,16,80.1,195231.6,23,80.3,220865.8,24,80.6,252193.3,15,80.6,262992.7,9,80.8,294084.8,12,81,267801.1,19,81.2,283556.4,10,81.4,307393.4,12,81.5,328115.5,10,81.8,340128,4,82.2,337287.3,11,82.4,321969.7,,,331022.1,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Poland,115,74.2,407252.2,100,74.6,425604,450394.3,122,74.7,468251.2,120,74.9,509752.6,124,75.1,530344.1,121,75.3,577874.4,101,75.4,639715.5,123,75.7,698099.5,149,75.8,735033.7,94,76.5,802284.9,135,76.8,869763.6,130,76.9,907149,118,77.1,940294.9,123,77.7,977186.2,125,77.6,1020154.5,,,1059324.1,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Portugal,951,77.2,194194.9,1026,77.4,202958.8,212223.5,999,77.5,217958,976,78.4,225306.7,,78.2,238841.4,,79,259580.3,,79.2,270910.6,790,79.5,281180.8,717,79.7,280018.2,664,80,289290.2,642,80.6,282733.7,561,80.5,278160.8,503,80.8,291753.4,458,81.2,299615.8,419,81.2,307508.4,,,316063.3,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Slovak Republic,2,73.6,61150.7,3,73.8,66696.6,71483.3,1,73.8,75973.6,,74.2,81652.9,3,74.2,89275.3,,74.4,101419.2,2,74.5,113710,1,75,127442.9,1,75.3,124333.3,3,75.6,134842.6,2,76.1,139467.3,,76.2,144098,3,76.5,151020.7,2,76.9,157249.6,1,76.7,162209.9,,,169448,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Slovenia,4,76.4,35873.2,8,76.6,37846.7,40499,3,76.4,42174.6,1,77.2,45517.8,2,77.4,47901.9,3,78.3,51733,,78.3,55689.7,3,79.1,59879.8,5,79.3,56099.2,1,79.8,56936.2,,80.1,59131.5,1,80.2,59332.4,2,80.4,60834.4,5,81.2,63910.6,4,80.9,65960.1,2,,68350.4,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Spain,1711,79.8,872912.1,1632,79.9,938063.5,1009397.7,1611,79.7,1056990,1632,80.4,1124492.9,1551,80.3,1209300,1450,81.1,1368901.2,1313,81.2,1473681.7,1307,81.5,1537767.5,1211,81.9,1503253.7,1079,82.4,1489722.7,1020,82.6,1498907.1,953,82.5,1496106.3,880,83.2,1519908.1,749,83.3,1564461.2,700,83,1611564.9,,,1679558.1,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Sweden,26,79.9,259580,35,79.9,264227.8,272994.5,27,80.3,281923.5,29,80.6,301748.3,20,80.7,306709.2,31,81,339972.6,24,81.1,371081.7,27,81.3,385875.9,18,81.5,369089,28,81.6,390766.2,11,81.9,413450.9,23,81.8,425753.8,14,82,438479.7,15,82.3,449945.5,9,82.3,468629.4,15,,491091.4,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Switzerland,135,80.4,256298.8,125,80.6,266507.7,274505.1,101,80.6,276031,92,81.2,289199.1,83,81.4,300888.8,75,81.7,336415,77,82,373532.8,60,82.2,400107.8,48,82.3,399834.5,51,82.6,414217.9,42,82.8,442451.3,41,82.8,460544.8,45,82.9,483647.4,36,83.3,501374.1,,83,517646.7,,,532594.5,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Turkey,,71.5,605613.4,,71.9,592897.6,607794.1,,72.3,634676.8,,72.7,728257,,73.1,807227.2,,73.4,937107.9,,73.7,1032837.5,,73.9,1130486.5,,74.1,1105889.1,44,74.3,1262796.8,54,74.6,1443295.2,41,74.6,1539111.5,61,78,1690856.1,70,78,1780288.8,,78,1882755.9,,,1977726.4,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,United Kingdom,,78.2,1533015.1,198,78.3,1617453.5,1699798.7,228,78.4,1783357.3,249,79,1896674.3,206,79.2,1949434.7,242,79.5,2089011.4,245,79.7,2155566.8,267,79.8,2229260.5,262,80.4,2142488.1,266,80.6,2243316.2,267,81,2306167.3,208,81,2387347.2,227,81.1,2502075.5,224,81.4,2630349.9,,81,2720256,,,2812892.2,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,United States,14478,76.9,10284779,14175,77,10621824,10977514,14095,77.1,11510670,13658,77.6,12274928,13063,77.6,13093726,12543,77.8,13855888,12113,78.1,14477635,11295,78.1,14718582,10285,78.5,14418739,9409,78.6,14964372,8371,78.7,15517926,7683,78.8,16155254.8,7216,78.8,16691517,6955,78.9,17393103,6721,78.8,18036648,,,18569100,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Brazil,10724,70.5,1575642.2,10945,70.8,1638266.2,1714201.3,11053,71.2,1768321,11282,71.5,1921619,11020,71.8,2046960.4,11100,72.1,2193408,11046,72.4,2388517,11370,72.7,2559422.3,11823,73,2575605.3,12133,73.3,2803344.1,12149,73.6,2974955,12149,73.8,3091549.1,12072,74.1,3239945.7,12559,74.4,3340163,12571,74.7,3244433.5,,,3186016.8,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Colombia,1909,71.3,266073.6,2110,71.5,276703.3,287986,2112,71.8,305237.7,2215,72,330356.9,2426,72.3,357035.3,2304,72.5,392651.5,2343,72.7,430917.8,2477,72.9,454954.4,2392,73.1,465980.3,2340,73.3,490405.4,2432,73.5,533513,2354,73.6,565312.9,2277,73.8,602530.9,2383,74,638915.6,,74.2,664316.6,,,691903,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Costa Rica,115,77.6,27926.8,134,77.7,29875.6,31527.5,118,77.8,34278.4,140,78,37274.2,121,78.1,40858.5,123,78.2,45991,141,78.3,51609,107,78.5,54588.1,115,78.6,55196.1,109,78.7,57881.8,138,78.9,61633.6,129,79.1,66078,147,79.2,68410.1,133,79.4,72819.8,152,79.6,79312.9,,,,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Lithuania,6,71.7,29575.1,5,71.8,32880.1,36132.9,5,72.1,41211.3,7,72,44039.4,7,71.3,48263.2,3,71.1,53933.9,6,70.9,61678.7,11,71.8,66344.1,14,72.9,57452.9,13,73.3,62347.6,18,73.7,69205.4,18,74,73672.2,28,74.1,78949.7,26,74.7,82558.8,22,74.5,83989.2,16,,88052.9,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,Russia,208,65.6,1066173.6,255,65.3,1145987.8,1244453.4,381,65.2,1427741.9,632,65.6,1572272.1,965,65.7,1809836.7,1529,66.9,2275993.7,2464,67.7,2535993.2,3626,68.1,3070068.1,4460,68.8,2952650.1,5640,69,3123315.8,6784,69.8,3441692.1,8247,70.2,3625384.7,,70.7,3656647.9,,70.9,3721984.7,,71.3,3470238.6,,,3432116.3,,
Certain infectious and parasitic diseases,HIV-AIDS,Number of total deaths,South Africa,10410,54.6,346205.6,9222,53.4,363656.3,382901.8,10451,52.5,402054.2,11614,51.9,431924.4,13283,51.6,469348.6,14493,51.6,510786.8,14747,52,552490.3,13498,52.6,581303.8,15083,53.5,576709.6,17541,54.4,601497.9,18298,55.3,633638.5,17281,56.1,659635.6,19071,56.7,685219.3,23124,57.2,707148.2,21845,57.4,731101.6,,,742390.9,,
